?cls	?pred	?val	?synType
<https://spec.industrialontologies.org/ontology/construct/BusinessOrganization>	<http://www.w3.org/2000/01/rdf-schema#label>	"business organization"@en-us	
<https://spec.industrialontologies.org/ontology/construct/Agent>	<http://www.w3.org/2000/01/rdf-schema#label>	"agent"@en-us	
<https://spec.industrialontologies.org/ontology/construct/PieceOfEquipment>	<http://www.w3.org/2000/01/rdf-schema#label>	"piece of equipment"@en-us	
<https://spec.industrialontologies.org/ontology/construct/ManufacturingProcess>	<http://www.w3.org/2000/01/rdf-schema#label>	"manufacturing process"@en-us	
<https://spec.industrialontologies.org/ontology/construct/Organization>	<http://www.w3.org/2000/01/rdf-schema#label>	"organization"@en-us	
<http://purl.obolibrary.org/obo/BFO_0000031>	<http://www.w3.org/2000/01/rdf-schema#label>	"generically dependent continuant"@en	
<https://spec.industrialontologies.org/ontology/construct/MaintainableMaterialItemRole>	<http://www.w3.org/2000/01/rdf-schema#label>	"maintainable material item role"@en-us	
<https://spec.industrialontologies.org/ontology/construct/ProductProductionProcess>	<http://www.w3.org/2000/01/rdf-schema#label>	"product production process"@en-us	
<http://purl.obolibrary.org/obo/BFO_0000017>	<http://www.w3.org/2000/01/rdf-schema#label>	"realizable entity"@en	
<https://spec.industrialontologies.org/ontology/construct/SellingBusinessProcess>	<http://www.w3.org/2000/01/rdf-schema#label>	"offering for sale business process"@en-us	
<https://spec.industrialontologies.org/ontology/construct/ProcessCharacteristic>	<http://www.w3.org/2000/01/rdf-schema#label>	"process characteristic"@en-us	
<https://spec.industrialontologies.org/ontology/construct/MaterialProductRole>	<http://www.w3.org/2000/01/rdf-schema#label>	"material product role"@en-us	
<https://spec.industrialontologies.org/ontology/construct/Person>	<http://www.w3.org/2000/01/rdf-schema#label>	"person"@en-us	
<https://spec.industrialontologies.org/ontology/construct/GroupOfPersons>	<http://www.w3.org/2000/01/rdf-schema#label>	"group of persons"@en-us	
<https://spec.industrialontologies.org/ontology/construct/OutputObjectiveSpecification>	<http://www.w3.org/2000/01/rdf-schema#label>	"output objective specification"@en-us	
<https://spec.industrialontologies.org/ontology/construct/BuyerRole>	<http://www.w3.org/2000/01/rdf-schema#label>	"buyer role"@en-us	
<https://spec.industrialontologies.org/ontology/construct/Denoter>	<http://www.w3.org/2000/01/rdf-schema#label>	"denoter"@en-us	
<http://purl.obolibrary.org/obo/BFO_0000001>	<http://www.w3.org/2000/01/rdf-schema#label>	"entity"@en	
<http://purl.obolibrary.org/obo/BFO_0000028>	<http://www.w3.org/2000/01/rdf-schema#label>	"three-dimensional spatial region"@en	
<http://purl.obolibrary.org/obo/BFO_0000006>	<http://www.w3.org/2000/01/rdf-schema#label>	"spatial region"@en	
<https://spec.industrialontologies.org/ontology/construct/SupplierRole>	<http://www.w3.org/2000/01/rdf-schema#label>	"supplier role"@en-us	
<https://spec.industrialontologies.org/ontology/construct/Agreement>	<http://www.w3.org/2000/01/rdf-schema#label>	"agreement"@en-us	
<https://spec.industrialontologies.org/ontology/construct/Capability>	<http://www.w3.org/2000/01/rdf-schema#label>	"capability"@en-us	
<https://spec.industrialontologies.org/ontology/construct/MaterialState>	<http://www.w3.org/2000/01/rdf-schema#label>	"material state"@en-us	
<https://spec.industrialontologies.org/ontology/construct/SupplyingBusinessProcess>	<http://www.w3.org/2000/01/rdf-schema#label>	"supplying business process"@en-us	
<http://purl.obolibrary.org/obo/BFO_0000142>	<http://www.w3.org/2000/01/rdf-schema#label>	"fiat line"@en	
<http://purl.obolibrary.org/obo/BFO_0000019>	<http://www.w3.org/2000/01/rdf-schema#label>	"quality"@en	
<https://spec.industrialontologies.org/ontology/construct/GroupOfAgents>	<http://www.w3.org/2000/01/rdf-schema#label>	"group of agents"@en-us	
<https://spec.industrialontologies.org/ontology/construct/BusinessFunction>	<http://www.w3.org/2000/01/rdf-schema#label>	"business function"@en-us	
<http://purl.obolibrary.org/obo/BFO_0000009>	<http://www.w3.org/2000/01/rdf-schema#label>	"two-dimensional spatial region"@en	
